size_slug,ollama_ref,size_file,fit_status
7b-instruct-v0.3-fp16,mistral:7b-instruct-v0.3-fp16,../sizes/7b-instruct-v0.3-fp16.json,fit
7b-instruct-v0.3-q2-k,mistral:7b-instruct-v0.3-q2_K,../sizes/7b-instruct-v0.3-q2-k.json,fit
7b-instruct-v0.3-q3-k-l,mistral:7b-instruct-v0.3-q3_K_L,../sizes/7b-instruct-v0.3-q3-k-l.json,fit
7b-instruct-v0.3-q3-k-m,mistral:7b-instruct-v0.3-q3_K_M,../sizes/7b-instruct-v0.3-q3-k-m.json,fit
7b-instruct-v0.3-q3-k-s,mistral:7b-instruct-v0.3-q3_K_S,../sizes/7b-instruct-v0.3-q3-k-s.json,fit
7b-instruct-v0.3-q4-k-m,mistral:7b-instruct-v0.3-q4_K_M,../sizes/7b-instruct-v0.3-q4-k-m.json,fit
7b-instruct-v0.3-q4-k-s,mistral:7b-instruct-v0.3-q4_K_S,../sizes/7b-instruct-v0.3-q4-k-s.json,fit
7b-instruct-v0.3-q40,mistral:7b-instruct-v0.3-q4_0,../sizes/7b-instruct-v0.3-q40.json,fit
7b-instruct-v0.3-q41,mistral:7b-instruct-v0.3-q4_1,../sizes/7b-instruct-v0.3-q41.json,fit
7b-instruct-v0.3-q5-k-m,mistral:7b-instruct-v0.3-q5_K_M,../sizes/7b-instruct-v0.3-q5-k-m.json,fit
7b-instruct-v0.3-q5-k-s,mistral:7b-instruct-v0.3-q5_K_S,../sizes/7b-instruct-v0.3-q5-k-s.json,fit
7b-instruct-v0.3-q50,mistral:7b-instruct-v0.3-q5_0,../sizes/7b-instruct-v0.3-q50.json,fit
7b-instruct-v0.3-q51,mistral:7b-instruct-v0.3-q5_1,../sizes/7b-instruct-v0.3-q51.json,fit
7b-instruct-v0.3-q6-k,mistral:7b-instruct-v0.3-q6_K,../sizes/7b-instruct-v0.3-q6-k.json,fit
7b-instruct-v0.3-q80,mistral:7b-instruct-v0.3-q8_0,../sizes/7b-instruct-v0.3-q80.json,fit
7b-text,mistral:7b-text,../sizes/7b-text.json,fit
7b-text-fp16,mistral:7b-text-fp16,../sizes/7b-text-fp16.json,fit
7b-text-q2-k,mistral:7b-text-q2_K,../sizes/7b-text-q2-k.json,fit
7b-text-q3-k-l,mistral:7b-text-q3_K_L,../sizes/7b-text-q3-k-l.json,fit
7b-text-q3-k-m,mistral:7b-text-q3_K_M,../sizes/7b-text-q3-k-m.json,fit
7b-text-q3-k-s,mistral:7b-text-q3_K_S,../sizes/7b-text-q3-k-s.json,fit
7b-text-q4-k-m,mistral:7b-text-q4_K_M,../sizes/7b-text-q4-k-m.json,fit
7b-text-q4-k-s,mistral:7b-text-q4_K_S,../sizes/7b-text-q4-k-s.json,fit
7b-text-q40,mistral:7b-text-q4_0,../sizes/7b-text-q40.json,fit
7b-text-q41,mistral:7b-text-q4_1,../sizes/7b-text-q41.json,fit
7b-text-q5-k-m,mistral:7b-text-q5_K_M,../sizes/7b-text-q5-k-m.json,fit
7b-text-q5-k-s,mistral:7b-text-q5_K_S,../sizes/7b-text-q5-k-s.json,fit
7b-text-q50,mistral:7b-text-q5_0,../sizes/7b-text-q50.json,fit
7b-text-q51,mistral:7b-text-q5_1,../sizes/7b-text-q51.json,fit
7b-text-q6-k,mistral:7b-text-q6_K,../sizes/7b-text-q6-k.json,fit
7b-text-q80,mistral:7b-text-q8_0,../sizes/7b-text-q80.json,fit
7b-text-v0.2-fp16,mistral:7b-text-v0.2-fp16,../sizes/7b-text-v0.2-fp16.json,fit
7b-text-v0.2-q2-k,mistral:7b-text-v0.2-q2_K,../sizes/7b-text-v0.2-q2-k.json,fit
7b-text-v0.2-q3-k-l,mistral:7b-text-v0.2-q3_K_L,../sizes/7b-text-v0.2-q3-k-l.json,fit
7b-text-v0.2-q3-k-m,mistral:7b-text-v0.2-q3_K_M,../sizes/7b-text-v0.2-q3-k-m.json,fit
7b-text-v0.2-q3-k-s,mistral:7b-text-v0.2-q3_K_S,../sizes/7b-text-v0.2-q3-k-s.json,fit
7b-text-v0.2-q4-k-m,mistral:7b-text-v0.2-q4_K_M,../sizes/7b-text-v0.2-q4-k-m.json,fit
7b-text-v0.2-q4-k-s,mistral:7b-text-v0.2-q4_K_S,../sizes/7b-text-v0.2-q4-k-s.json,fit
7b-text-v0.2-q40,mistral:7b-text-v0.2-q4_0,../sizes/7b-text-v0.2-q40.json,fit
7b-text-v0.2-q41,mistral:7b-text-v0.2-q4_1,../sizes/7b-text-v0.2-q41.json,fit
7b-text-v0.2-q5-k-m,mistral:7b-text-v0.2-q5_K_M,../sizes/7b-text-v0.2-q5-k-m.json,fit
7b-text-v0.2-q5-k-s,mistral:7b-text-v0.2-q5_K_S,../sizes/7b-text-v0.2-q5-k-s.json,fit
7b-text-v0.2-q50,mistral:7b-text-v0.2-q5_0,../sizes/7b-text-v0.2-q50.json,fit
7b-text-v0.2-q51,mistral:7b-text-v0.2-q5_1,../sizes/7b-text-v0.2-q51.json,fit
7b-text-v0.2-q6-k,mistral:7b-text-v0.2-q6_K,../sizes/7b-text-v0.2-q6-k.json,fit
7b-text-v0.2-q80,mistral:7b-text-v0.2-q8_0,../sizes/7b-text-v0.2-q80.json,fit
instruct,mistral:instruct,../sizes/instruct.json,fit
latest,mistral:latest,../sizes/latest.json,fit
text,mistral:text,../sizes/text.json,fit
v0.1,mistral:v0.1,../sizes/v0.1.json,fit
v0.2,mistral:v0.2,../sizes/v0.2.json,fit
v0.3,mistral:v0.3,../sizes/v0.3.json,fit
